New ID,Assessment Started,Assessment Completed
67425,7/3/2012,7/10/2012
129650,7/5/2012,7/16/2012
139452,5/24/2012,5/24/2012
174465,4/3/2012,4/5/2012
200159,10/23/2012,10/23/2012
201885,11/21/2012,11/23/2012
201885,12/14/2012,12/14/2012
309610,2/19/2013,2/21/2013
354654,8/6/2012,8/6/2012
355476,7/6/2012,7/6/2012
402703,1/25/2013,1/25/2013
416444,12/20/2011,8/6/2012
658379,4/27/2012,4/27/2012
717055,2/8/2013,2/8/2013
804313,11/5/2012,11/5/2012
1009636,4/27/2012,4/30/2012
1083889,11/5/2012,11/5/2012
1181308,5/22/2012,6/22/2012
1316053,9/30/2010,11/23/2012
1333768,5/24/2012,5/24/2012
1435096,2/26/2013,2/26/2013
1444096,1/2/2013,1/4/2013
1598327,6/12/2012,8/23/2012
1602746,3/18/2013,3/18/2013
1617129,12/6/2012,12/7/2012
1658889,7/12/2012,7/12/2012
1744440,10/2/2012,10/2/2012
1778553,11/13/2012,11/22/2012
1799880,4/19/2012,5/17/2012
1799880,1/23/2013,1/23/2013
1816732,4/4/2012,4/27/2012
1939856,6/22/2012,6/22/2012
2072855,8/7/2012,8/7/2012
2140565,3/20/2013,3/26/2013
2155667,6/12/2012,6/12/2012
2210056,1/28/2013,1/28/2013
2272386,12/20/2012,12/20/2012
2348252,5/14/2012,5/14/2012
2504218,2/14/2013,2/14/2013
2601917,2/7/2011,1/11/2013
2603861,1/27/2011,11/22/2012
2607590,2/23/2011,1/7/2013
2608867,9/6/2012,9/6/2012
2616243,9/7/2012,11/12/2012
2810903,8/20/2012,9/3/2012
2813209,6/12/2012,6/12/2012
2843010,4/12/2012,5/16/2012
2843010,9/17/2012,11/9/2012
2844602,2/5/2013,2/5/2013
2884207,3/27/2013,3/27/2013
2947459,2/14/2013,2/14/2013
2980827,1/20/2011,12/28/2012
3029150,4/17/2012,4/17/2012
3039153,4/23/2012,4/30/2012
3049592,3/7/2013,3/7/2013
3070801,5/3/2012,5/3/2012
3076041,6/7/2012,6/7/2012
3079526,7/31/2012,7/31/2012
3142367,8/29/2012,8/29/2012
3210215,1/23/2013,1/23/2013
3260461,2/28/2013,2/28/2013
3273644,7/27/2012,7/27/2012
3407531,8/31/2012,9/3/2012
3596755,6/14/2012,11/20/2012
3664102,11/12/2012,1/14/2013
3710051,12/27/2012,2/18/2013
3934270,1/29/2013,1/29/2013
3934955,10/10/2012,10/11/2012
4056994,10/22/2012,10/22/2012
4141482,5/9/2012,5/9/2012
4239996,4/19/2012,4/27/2012
4292806,9/10/2012,9/12/2012
4395552,11/4/2012,11/5/2012
4441865,2/27/2013,3/18/2013
4469882,7/31/2012,7/31/2012
4487386,6/1/2012,8/16/2012
4487386,9/11/2012,9/12/2012
4499125,3/7/2013,3/7/2013
4516026,9/13/2012,12/6/2012
4530536,6/11/2012,6/20/2012
4547905,5/25/2012,5/25/2012
4565146,4/18/2012,4/18/2012
4575159,3/20/2013,3/20/2013
4619760,5/11/2012,5/11/2012
4638557,2/16/2013,2/16/2013
4670119,9/28/2012,9/28/2012
4672379,2/5/2013,2/5/2013
4681109,4/16/2012,4/18/2012
4717450,4/3/2012,4/10/2012
4752391,12/2/2010,1/8/2013
4770498,3/26/2013,3/26/2013
4808326,4/2/2012,4/11/2012
4808326,10/24/2012,10/24/2012
4898436,10/3/2012,10/3/2012
4981547,5/2/2012,5/2/2012
4984397,11/2/2012,11/5/2012
5022923,11/7/2012,11/7/2012
5116886,8/14/2012,8/16/2012
5153190,5/3/2012,5/3/2012
5267149,5/29/2012,5/29/2012
